"","body_mass_g","flipper_length_mm","species"
"111",4600,191,"Adelie Penguin (Pygoscelis adeliae)"
"112",3200,193,"Adelie Penguin (Pygoscelis adeliae)"
"113",4275,197,"Adelie Penguin (Pygoscelis adeliae)"
"114",3900,191,"Adelie Penguin (Pygoscelis adeliae)"
"115",4075,196,"Adelie Penguin (Pygoscelis adeliae)"
"116",2900,188,"Adelie Penguin (Pygoscelis adeliae)"
"117",3775,199,"Adelie Penguin (Pygoscelis adeliae)"
"118",3350,189,"Adelie Penguin (Pygoscelis adeliae)"
"119",3325,189,"Adelie Penguin (Pygoscelis adeliae)"
"120",3150,187,"Adelie Penguin (Pygoscelis adeliae)"
"121",3500,198,"Adelie Penguin (Pygoscelis adeliae)"
"122",3450,176,"Adelie Penguin (Pygoscelis adeliae)"
"123",3875,202,"Adelie Penguin (Pygoscelis adeliae)"
"124",3050,186,"Adelie Penguin (Pygoscelis adeliae)"
"125",4000,199,"Adelie Penguin (Pygoscelis adeliae)"
"126",3275,191,"Adelie Penguin (Pygoscelis adeliae)"
"127",4300,195,"Adelie Penguin (Pygoscelis adeliae)"
"128",3050,191,"Adelie Penguin (Pygoscelis adeliae)"
"129",4000,210,"Adelie Penguin (Pygoscelis adeliae)"
"130",3325,190,"Adelie Penguin (Pygoscelis adeliae)"
"131",3500,197,"Adelie Penguin (Pygoscelis adeliae)"
"132",3500,193,"Adelie Penguin (Pygoscelis adeliae)"
"133",4475,199,"Adelie Penguin (Pygoscelis adeliae)"
"134",3425,187,"Adelie Penguin (Pygoscelis adeliae)"
"135",3900,190,"Adelie Penguin (Pygoscelis adeliae)"
"136",3175,191,"Adelie Penguin (Pygoscelis adeliae)"
"137",3975,200,"Adelie Penguin (Pygoscelis adeliae)"
"138",3400,185,"Adelie Penguin (Pygoscelis adeliae)"
"139",4250,193,"Adelie Penguin (Pygoscelis adeliae)"
"140",3400,193,"Adelie Penguin (Pygoscelis adeliae)"
"141",3475,187,"Adelie Penguin (Pygoscelis adeliae)"
"142",3050,188,"Adelie Penguin (Pygoscelis adeliae)"
"143",3725,190,"Adelie Penguin (Pygoscelis adeliae)"
"144",3000,192,"Adelie Penguin (Pygoscelis adeliae)"
"145",3650,185,"Adelie Penguin (Pygoscelis adeliae)"
"146",4250,190,"Adelie Penguin (Pygoscelis adeliae)"
"147",3475,184,"Adelie Penguin (Pygoscelis adeliae)"
"148",3450,195,"Adelie Penguin (Pygoscelis adeliae)"
"149",3750,193,"Adelie Penguin (Pygoscelis adeliae)"
"150",3700,187,"Adelie Penguin (Pygoscelis adeliae)"
"151",4000,201,"Adelie Penguin (Pygoscelis adeliae)"
"152",4500,211,"Gentoo penguin (Pygoscelis papua)"
"153",5700,230,"Gentoo penguin (Pygoscelis papua)"
"154",4450,210,"Gentoo penguin (Pygoscelis papua)"
"155",5700,218,"Gentoo penguin (Pygoscelis papua)"
"156",5400,215,"Gentoo penguin (Pygoscelis papua)"
"157",4550,210,"Gentoo penguin (Pygoscelis papua)"
"158",4800,211,"Gentoo penguin (Pygoscelis papua)"
"159",5200,219,"Gentoo penguin (Pygoscelis papua)"
"160",4400,209,"Gentoo penguin (Pygoscelis papua)"
"161",5150,215,"Gentoo penguin (Pygoscelis papua)"
"162",4650,214,"Gentoo penguin (Pygoscelis papua)"
"163",5550,216,"Gentoo penguin (Pygoscelis papua)"
"164",4650,214,"Gentoo penguin (Pygoscelis papua)"
"165",5850,213,"Gentoo penguin (Pygoscelis papua)"
"166",4200,210,"Gentoo penguin (Pygoscelis papua)"
"167",5850,217,"Gentoo penguin (Pygoscelis papua)"
"168",4150,210,"Gentoo penguin (Pygoscelis papua)"
"169",6300,221,"Gentoo penguin (Pygoscelis papua)"
"170",4800,209,"Gentoo penguin (Pygoscelis papua)"
"171",5350,222,"Gentoo penguin (Pygoscelis papua)"
"172",5700,218,"Gentoo penguin (Pygoscelis papua)"
"173",5000,215,"Gentoo penguin (Pygoscelis papua)"
"174",4400,213,"Gentoo penguin (Pygoscelis papua)"
"175",5050,215,"Gentoo penguin (Pygoscelis papua)"
"176",5000,215,"Gentoo penguin (Pygoscelis papua)"
"177",5100,215,"Gentoo penguin (Pygoscelis papua)"
"178",4100,216,"Gentoo penguin (Pygoscelis papua)"
"179",5650,215,"Gentoo penguin (Pygoscelis papua)"
"180",4600,210,"Gentoo penguin (Pygoscelis papua)"
"181",5550,220,"Gentoo penguin (Pygoscelis papua)"
"182",5250,222,"Gentoo penguin (Pygoscelis papua)"
"183",4700,209,"Gentoo penguin (Pygoscelis papua)"
"184",5050,207,"Gentoo penguin (Pygoscelis papua)"
"185",6050,230,"Gentoo penguin (Pygoscelis papua)"
"186",5150,220,"Gentoo penguin (Pygoscelis papua)"
"187",5400,220,"Gentoo penguin (Pygoscelis papua)"
"188",4950,213,"Gentoo penguin (Pygoscelis papua)"
"189",5250,219,"Gentoo penguin (Pygoscelis papua)"
"190",4350,208,"Gentoo penguin (Pygoscelis papua)"
"191",5350,208,"Gentoo penguin (Pygoscelis papua)"
"192",3950,208,"Gentoo penguin (Pygoscelis papua)"
"193",5700,225,"Gentoo penguin (Pygoscelis papua)"
"194",4300,210,"Gentoo penguin (Pygoscelis papua)"
"195",4750,216,"Gentoo penguin (Pygoscelis papua)"
"196",5550,222,"Gentoo penguin (Pygoscelis papua)"
"197",4900,217,"Gentoo penguin (Pygoscelis papua)"
"198",4200,210,"Gentoo penguin (Pygoscelis papua)"
"199",5400,225,"Gentoo penguin (Pygoscelis papua)"
"200",5100,213,"Gentoo penguin (Pygoscelis papua)"
"201",5300,215,"Gentoo penguin (Pygoscelis papua)"
"202",4850,210,"Gentoo penguin (Pygoscelis papua)"
"203",5300,220,"Gentoo penguin (Pygoscelis papua)"
"204",4400,210,"Gentoo penguin (Pygoscelis papua)"
"205",5000,225,"Gentoo penguin (Pygoscelis papua)"
"206",4900,217,"Gentoo penguin (Pygoscelis papua)"
"207",5050,220,"Gentoo penguin (Pygoscelis papua)"
"208",4300,208,"Gentoo penguin (Pygoscelis papua)"
"209",5000,220,"Gentoo penguin (Pygoscelis papua)"
"210",4450,208,"Gentoo penguin (Pygoscelis papua)"
"211",5550,224,"Gentoo penguin (Pygoscelis papua)"
"212",4200,208,"Gentoo penguin (Pygoscelis papua)"
"213",5300,221,"Gentoo penguin (Pygoscelis papua)"
"214",4400,214,"Gentoo penguin (Pygoscelis papua)"
"215",5650,231,"Gentoo penguin (Pygoscelis papua)"
"216",4700,219,"Gentoo penguin (Pygoscelis papua)"
"217",5700,230,"Gentoo penguin (Pygoscelis papua)"
"218",4650,214,"Gentoo penguin (Pygoscelis papua)"
"219",5800,229,"Gentoo penguin (Pygoscelis papua)"
"220",4700,220,"Gentoo penguin (Pygoscelis papua)"
"221",5550,223,"Gentoo penguin (Pygoscelis papua)"
"222",4750,216,"Gentoo penguin (Pygoscelis papua)"
"223",5000,221,"Gentoo penguin (Pygoscelis papua)"
"224",5100,221,"Gentoo penguin (Pygoscelis papua)"
"225",5200,217,"Gentoo penguin (Pygoscelis papua)"
"226",4700,216,"Gentoo penguin (Pygoscelis papua)"
"227",5800,230,"Gentoo penguin (Pygoscelis papua)"
"228",4600,209,"Gentoo penguin (Pygoscelis papua)"
"229",6000,220,"Gentoo penguin (Pygoscelis papua)"
"230",4750,215,"Gentoo penguin (Pygoscelis papua)"
"231",5950,223,"Gentoo penguin (Pygoscelis papua)"
"232",4625,212,"Gentoo penguin (Pygoscelis papua)"
"233",5450,221,"Gentoo penguin (Pygoscelis papua)"
"234",4725,212,"Gentoo penguin (Pygoscelis papua)"
"235",5350,224,"Gentoo penguin (Pygoscelis papua)"
"236",4750,212,"Gentoo penguin (Pygoscelis papua)"
"237",5600,228,"Gentoo penguin (Pygoscelis papua)"
"238",4600,218,"Gentoo penguin (Pygoscelis papua)"
"239",5300,218,"Gentoo penguin (Pygoscelis papua)"
"240",4875,212,"Gentoo penguin (Pygoscelis papua)"
"241",5550,230,"Gentoo penguin (Pygoscelis papua)"
"242",4950,218,"Gentoo penguin (Pygoscelis papua)"
"243",5400,228,"Gentoo penguin (Pygoscelis papua)"
"244",4750,212,"Gentoo penguin (Pygoscelis papua)"
"245",5650,224,"Gentoo penguin (Pygoscelis papua)"
"246",4850,214,"Gentoo penguin (Pygoscelis papua)"
"247",5200,226,"Gentoo penguin (Pygoscelis papua)"
"248",4925,216,"Gentoo penguin (Pygoscelis papua)"
"249",4875,222,"Gentoo penguin (Pygoscelis papua)"
"250",4625,203,"Gentoo penguin (Pygoscelis papua)"
"251",5250,225,"Gentoo penguin (Pygoscelis papua)"
"252",4850,219,"Gentoo penguin (Pygoscelis papua)"
"253",5600,228,"Gentoo penguin (Pygoscelis papua)"
"254",4975,215,"Gentoo penguin (Pygoscelis papua)"
"255",5500,228,"Gentoo penguin (Pygoscelis papua)"
"256",4725,216,"Gentoo penguin (Pygoscelis papua)"
"257",5500,215,"Gentoo penguin (Pygoscelis papua)"
"258",4700,210,"Gentoo penguin (Pygoscelis papua)"
"259",5500,219,"Gentoo penguin (Pygoscelis papua)"
"260",4575,208,"Gentoo penguin (Pygoscelis papua)"
"261",5500,209,"Gentoo penguin (Pygoscelis papua)"
"262",5000,216,"Gentoo penguin (Pygoscelis papua)"
"263",5950,229,"Gentoo penguin (Pygoscelis papua)"
"264",4650,213,"Gentoo penguin (Pygoscelis papua)"
"265",5500,230,"Gentoo penguin (Pygoscelis papua)"
"266",4375,217,"Gentoo penguin (Pygoscelis papua)"
"267",5850,230,"Gentoo penguin (Pygoscelis papua)"
"268",4875,217,"Gentoo penguin (Pygoscelis papua)"
"269",6000,222,"Gentoo penguin (Pygoscelis papua)"
"270",4925,214,"Gentoo penguin (Pygoscelis papua)"
"271",4850,215,"Gentoo penguin (Pygoscelis papua)"
"272",5750,222,"Gentoo penguin (Pygoscelis papua)"
"273",5200,212,"Gentoo penguin (Pygoscelis papua)"
"274",5400,213,"Gentoo penguin (Pygoscelis papua)"
"275",3500,192,"Chinstrap penguin (Pygoscelis antarctica)"
"276",3900,196,"Chinstrap penguin (Pygoscelis antarctica)"
"277",3650,193,"Chinstrap penguin (Pygoscelis antarctica)"
"278",3525,188,"Chinstrap penguin (Pygoscelis antarctica)"
"279",3725,197,"Chinstrap penguin (Pygoscelis antarctica)"
"280",3950,198,"Chinstrap penguin (Pygoscelis antarctica)"
"281",3250,178,"Chinstrap penguin (Pygoscelis antarctica)"
"282",3750,197,"Chinstrap penguin (Pygoscelis antarctica)"
"283",4150,195,"Chinstrap penguin (Pygoscelis antarctica)"
"284",3700,198,"Chinstrap penguin (Pygoscelis antarctica)"
"285",3800,193,"Chinstrap penguin (Pygoscelis antarctica)"
"286",3775,194,"Chinstrap penguin (Pygoscelis antarctica)"
"287",3700,185,"Chinstrap penguin (Pygoscelis antarctica)"
"288",4050,201,"Chinstrap penguin (Pygoscelis antarctica)"
"289",3575,190,"Chinstrap penguin (Pygoscelis antarctica)"
"290",4050,201,"Chinstrap penguin (Pygoscelis antarctica)"
"291",3300,197,"Chinstrap penguin (Pygoscelis antarctica)"
"292",3700,181,"Chinstrap penguin (Pygoscelis antarctica)"
"293",3450,190,"Chinstrap penguin (Pygoscelis antarctica)"
"294",4400,195,"Chinstrap penguin (Pygoscelis antarctica)"
"295",3600,181,"Chinstrap penguin (Pygoscelis antarctica)"
"296",3400,191,"Chinstrap penguin (Pygoscelis antarctica)"
"297",2900,187,"Chinstrap penguin (Pygoscelis antarctica)"
"298",3800,193,"Chinstrap penguin (Pygoscelis antarctica)"
"299",3300,195,"Chinstrap penguin (Pygoscelis antarctica)"
"300",4150,197,"Chinstrap penguin (Pygoscelis antarctica)"
"301",3400,200,"Chinstrap penguin (Pygoscelis antarctica)"
"302",3800,200,"Chinstrap penguin (Pygoscelis antarctica)"
"303",3700,191,"Chinstrap penguin (Pygoscelis antarctica)"
"304",4550,205,"Chinstrap penguin (Pygoscelis antarctica)"
"305",3200,187,"Chinstrap penguin (Pygoscelis antarctica)"
"306",4300,201,"Chinstrap penguin (Pygoscelis antarctica)"
"307",3350,187,"Chinstrap penguin (Pygoscelis antarctica)"
"308",4100,203,"Chinstrap penguin (Pygoscelis antarctica)"
"309",3600,195,"Chinstrap penguin (Pygoscelis antarctica)"
"310",3900,199,"Chinstrap penguin (Pygoscelis antarctica)"
"311",3850,195,"Chinstrap penguin (Pygoscelis antarctica)"
"312",4800,210,"Chinstrap penguin (Pygoscelis antarctica)"
"313",2700,192,"Chinstrap penguin (Pygoscelis antarctica)"
"314",4500,205,"Chinstrap penguin (Pygoscelis antarctica)"
"315",3950,210,"Chinstrap penguin (Pygoscelis antarctica)"
"316",3650,187,"Chinstrap penguin (Pygoscelis antarctica)"
"317",3550,196,"Chinstrap penguin (Pygoscelis antarctica)"
"318",3500,196,"Chinstrap penguin (Pygoscelis antarctica)"
"319",3675,196,"Chinstrap penguin (Pygoscelis antarctica)"
"320",4450,201,"Chinstrap penguin (Pygoscelis antarctica)"
"321",3400,190,"Chinstrap penguin (Pygoscelis antarctica)"
"322",4300,212,"Chinstrap penguin (Pygoscelis antarctica)"
"323",3250,187,"Chinstrap penguin (Pygoscelis antarctica)"
"324",3675,198,"Chinstrap penguin (Pygoscelis antarctica)"
"325",3325,199,"Chinstrap penguin (Pygoscelis antarctica)"
"326",3950,201,"Chinstrap penguin (Pygoscelis antarctica)"
"327",3600,193,"Chinstrap penguin (Pygoscelis antarctica)"
"328",4050,203,"Chinstrap penguin (Pygoscelis antarctica)"
"329",3350,187,"Chinstrap penguin (Pygoscelis antarctica)"
"330",3450,197,"Chinstrap penguin (Pygoscelis antarctica)"
"331",3250,191,"Chinstrap penguin (Pygoscelis antarctica)"
"332",4050,203,"Chinstrap penguin (Pygoscelis antarctica)"
"333",3800,202,"Chinstrap penguin (Pygoscelis antarctica)"
"334",3525,194,"Chinstrap penguin (Pygoscelis antarctica)"
"335",3950,206,"Chinstrap penguin (Pygoscelis antarctica)"
"336",3650,189,"Chinstrap penguin (Pygoscelis antarctica)"
"337",3650,195,"Chinstrap penguin (Pygoscelis antarctica)"
"338",4000,207,"Chinstrap penguin (Pygoscelis antarctica)"
"339",3400,202,"Chinstrap penguin (Pygoscelis antarctica)"
"340",3775,193,"Chinstrap penguin (Pygoscelis antarctica)"
"341",4100,210,"Chinstrap penguin (Pygoscelis antarctica)"
"342",3775,198,"Chinstrap penguin (Pygoscelis antarctica)"
